case_id,evidence_role,order,dominant_axis,bin_index,phase_start,phase_end,sample_count,false_safe_count,non_false_safe_count,false_safe_rate,event_phase_resultant_R,total_false_safe_events,valid
P03_Lq_minus10,ENGINEERING_PRIMARY,12,q,7,1.5707963267949,1.83259571459405,15,0,15,0,0.544524402928254,21,1
P03_Lq_minus10,ENGINEERING_PRIMARY,12,q,8,1.83259571459405,2.0943951023932,12,0,12,0,0.544524402928254,21,1
P03_Lq_minus10,ENGINEERING_PRIMARY,12,q,9,2.0943951023932,2.35619449019234,14,0,14,0,0.544524402928254,21,1
P03_Lq_minus10,ENGINEERING_PRIMARY,12,q,10,2.35619449019234,2.61799387799149,13,5,8,0.384615384615385,0.544524402928254,21,1
P03_Lq_minus10,ENGINEERING_PRIMARY,12,q,11,2.61799387799149,2.87979326579064,15,8,7,0.533333333333333,0.544524402928254,21,1
P03_Lq_minus10,ENGINEERING_PRIMARY,12,q,12,2.87979326579064,3.14159265358979,15,2,13,0.133333333333333,0.544524402928254,21,1
P03_Lq_minus10,ENGINEERING_PRIMARY,12,q,13,3.14159265358979,3.40339204138894,12,0,12,0,0.544524402928254,21,1
P03_Lq_minus10,ENGINEERING_PRIMARY,12,q,14,3.40339204138894,3.66519142918809,15,0,15,0,0.544524402928254,21,1
P03_Lq_minus10,ENGINEERING_PRIMARY,12,q,15,3.66519142918809,3.92699081698724,12,0,12,0,0.544524402928254,21,1
P03_Lq_minus10,ENGINEERING_PRIMARY,12,q,16,3.92699081698724,4.18879020478639,16,0,16,0,0.544524402928254,21,1
P03_Lq_minus10,ENGINEERING_PRIMARY,12,q,17,4.18879020478639,4.45058959258554,14,0,14,0,0.544524402928254,21,1
P03_Lq_minus10,ENGINEERING_PRIMARY,12,q,18,4.45058959258554,4.71238898038469,12,0,12,0,0.544524402928254,21,1
P03_Lq_minus10,ENGINEERING_PRIMARY,12,q,19,4.71238898038469,4.97418836818384,15,4,11,0.266666666666667,0.544524402928254,21,1
P03_Lq_minus10,ENGINEERING_PRIMARY,12,q,20,4.97418836818384,5.23598775598299,12,1,11,0.0833333333333333,0.544524402928254,21,1
P03_Lq_minus10,ENGINEERING_PRIMARY,12,q,21,5.23598775598299,5.49778714378214,16,0,16,0,0.544524402928254,21,1
P03_Lq_minus10,ENGINEERING_PRIMARY,12,q,22,5.49778714378214,5.75958653158129,14,0,14,0,0.544524402928254,21,1
P03_Lq_minus10,ENGINEERING_PRIMARY,12,q,23,5.75958653158129,6.02138591938044,12,0,12,0,0.544524402928254,21,1
P03_Lq_minus10,ENGINEERING_PRIMARY,12,q,24,6.02138591938044,6.28318530717959,15,0,15,0,0.544524402928254,21,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,1,0,0.261799387799149,15,0,15,0,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,2,0.261799387799149,0.523598775598299,13,0,13,0,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,3,0.523598775598299,0.785398163397448,14,0,14,0,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,4,0.785398163397448,1.0471975511966,14,0,14,0,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,5,1.0471975511966,1.30899693899575,13,0,13,0,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,6,1.30899693899575,1.5707963267949,15,0,15,0,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,7,1.5707963267949,1.83259571459405,13,0,13,0,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,8,1.83259571459405,2.0943951023932,14,0,14,0,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,9,2.0943951023932,2.35619449019234,15,0,15,0,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,10,2.35619449019234,2.61799387799149,13,0,13,0,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,11,2.61799387799149,2.87979326579064,14,1,13,0.0714285714285714,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,12,2.87979326579064,3.14159265358979,13,0,13,0,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,13,3.14159265358979,3.40339204138894,15,0,15,0,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,14,3.40339204138894,3.66519142918809,14,0,14,0,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,15,3.66519142918809,3.92699081698724,13,0,13,0,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,16,3.92699081698724,4.18879020478639,15,1,14,0.0666666666666667,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,17,4.18879020478639,4.45058959258554,13,0,13,0,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,18,4.45058959258554,4.71238898038469,15,2,13,0.133333333333333,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,19,4.71238898038469,4.97418836818384,14,1,13,0.0714285714285714,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,20,4.97418836818384,5.23598775598299,13,0,13,0,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,21,5.23598775598299,5.49778714378214,15,0,15,0,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,22,5.49778714378214,5.75958653158129,13,0,13,0,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,23,5.75958653158129,6.02138591938044,14,2,12,0.142857142857143,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,6,d,24,6.02138591938044,6.28318530717959,14,1,13,0.0714285714285714,0.51857695611792,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,1,0,0.261799387799149,17,0,17,0,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,2,0.261799387799149,0.523598775598299,13,2,11,0.153846153846154,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,3,0.523598775598299,0.785398163397448,13,0,13,0,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,4,0.785398163397448,1.0471975511966,15,0,15,0,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,5,1.0471975511966,1.30899693899575,12,1,11,0.0833333333333333,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,6,1.30899693899575,1.5707963267949,17,0,17,0,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,7,1.5707963267949,1.83259571459405,13,0,13,0,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,8,1.83259571459405,2.0943951023932,13,0,13,0,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,9,2.0943951023932,2.35619449019234,14,0,14,0,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,10,2.35619449019234,2.61799387799149,12,0,12,0,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,11,2.61799387799149,2.87979326579064,18,0,18,0,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,12,2.87979326579064,3.14159265358979,12,1,11,0.0833333333333333,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,13,3.14159265358979,3.40339204138894,14,2,12,0.142857142857143,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,14,3.40339204138894,3.66519142918809,13,0,13,0,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,15,3.66519142918809,3.92699081698724,15,1,14,0.0666666666666667,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,16,3.92699081698724,4.18879020478639,15,0,15,0,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,17,4.18879020478639,4.45058959258554,12,0,12,0,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,18,4.45058959258554,4.71238898038469,15,0,15,0,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,19,4.71238898038469,4.97418836818384,12,0,12,0,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,20,4.97418836818384,5.23598775598299,16,0,16,0,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,21,5.23598775598299,5.49778714378214,14,0,14,0,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,22,5.49778714378214,5.75958653158129,12,1,11,0.0833333333333333,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,23,5.75958653158129,6.02138591938044,15,0,15,0,0.0809497563638763,8,1
P04_Lq_plus10,ENGINEERING_PRIMARY,12,q,24,6.02138591938044,6.28318530717959,12,0,12,0,0.0809497563638763,8,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,1,0,0.261799387799149,10,4,6,0.4,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,2,0.261799387799149,0.523598775598299,10,0,10,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,3,0.523598775598299,0.785398163397448,10,2,8,0.2,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,4,0.785398163397448,1.0471975511966,10,0,10,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,5,1.0471975511966,1.30899693899575,12,0,12,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,6,1.30899693899575,1.5707963267949,10,0,10,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,7,1.5707963267949,1.83259571459405,10,0,10,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,8,1.83259571459405,2.0943951023932,10,0,10,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,9,2.0943951023932,2.35619449019234,10,0,10,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,10,2.35619449019234,2.61799387799149,12,0,12,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,11,2.61799387799149,2.87979326579064,10,0,10,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,12,2.87979326579064,3.14159265358979,10,0,10,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,13,3.14159265358979,3.40339204138894,10,0,10,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,14,3.40339204138894,3.66519142918809,12,0,12,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,15,3.66519142918809,3.92699081698724,10,6,4,0.6,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,16,3.92699081698724,4.18879020478639,10,0,10,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,17,4.18879020478639,4.45058959258554,10,0,10,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,18,4.45058959258554,4.71238898038469,10,0,10,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,19,4.71238898038469,4.97418836818384,12,4,8,0.333333333333333,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,20,4.97418836818384,5.23598775598299,10,0,10,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,21,5.23598775598299,5.49778714378214,10,0,10,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,22,5.49778714378214,5.75958653158129,10,0,10,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,23,5.75958653158129,6.02138591938044,10,0,10,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,6,d,24,6.02138591938044,6.28318530717959,12,0,12,0,0.379296431830814,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,1,0,0.261799387799149,10,0,10,0,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,2,0.261799387799149,0.523598775598299,10,0,10,0,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,3,0.523598775598299,0.785398163397448,10,0,10,0,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,4,0.785398163397448,1.0471975511966,12,4,8,0.333333333333333,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,5,1.0471975511966,1.30899693899575,10,0,10,0,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,6,1.30899693899575,1.5707963267949,10,0,10,0,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,7,1.5707963267949,1.83259571459405,10,0,10,0,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,8,1.83259571459405,2.0943951023932,12,0,12,0,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,9,2.0943951023932,2.35619449019234,10,0,10,0,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,10,2.35619449019234,2.61799387799149,10,0,10,0,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,11,2.61799387799149,2.87979326579064,10,0,10,0,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,12,2.87979326579064,3.14159265358979,10,0,10,0,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,13,3.14159265358979,3.40339204138894,12,0,12,0,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,14,3.40339204138894,3.66519142918809,10,0,10,0,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,15,3.66519142918809,3.92699081698724,10,0,10,0,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,16,3.92699081698724,4.18879020478639,10,2,8,0.2,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,17,4.18879020478639,4.45058959258554,10,2,8,0.2,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,18,4.45058959258554,4.71238898038469,12,0,12,0,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,19,4.71238898038469,4.97418836818384,10,0,10,0,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,20,4.97418836818384,5.23598775598299,10,6,4,0.6,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,21,5.23598775598299,5.49778714378214,10,2,8,0.2,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,22,5.49778714378214,5.75958653158129,10,0,10,0,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,23,5.75958653158129,6.02138591938044,12,0,12,0,0.5122785800213,16,1
P05_cross_mismatch,ENGINEERING_PRIMARY,12,q,24,6.02138591938044,6.28318530717959,10,0,10,0,0.5122785800213,16,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,1,0,0.261799387799149,10,0,10,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,2,0.261799387799149,0.523598775598299,12,0,12,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,3,0.523598775598299,0.785398163397448,10,6,4,0.6,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,4,0.785398163397448,1.0471975511966,10,0,10,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,5,1.0471975511966,1.30899693899575,10,0,10,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,6,1.30899693899575,1.5707963267949,10,0,10,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,7,1.5707963267949,1.83259571459405,12,0,12,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,8,1.83259571459405,2.0943951023932,10,0,10,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,9,2.0943951023932,2.35619449019234,10,0,10,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,10,2.35619449019234,2.61799387799149,10,0,10,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,11,2.61799387799149,2.87979326579064,12,0,12,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,12,2.87979326579064,3.14159265358979,10,0,10,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,13,3.14159265358979,3.40339204138894,10,0,10,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,14,3.40339204138894,3.66519142918809,10,0,10,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,15,3.66519142918809,3.92699081698724,10,0,10,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,16,3.92699081698724,4.18879020478639,12,10,2,0.833333333333333,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,17,4.18879020478639,4.45058959258554,10,2,8,0.2,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,18,4.45058959258554,4.71238898038469,10,0,10,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,19,4.71238898038469,4.97418836818384,10,0,10,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,20,4.97418836818384,5.23598775598299,10,0,10,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,21,5.23598775598299,5.49778714378214,12,0,12,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,22,5.49778714378214,5.75958653158129,10,0,10,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,23,5.75958653158129,6.02138591938044,10,0,10,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,6,d,24,6.02138591938044,6.28318530717959,10,0,10,0,0.366741697521109,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,1,0,0.261799387799149,10,0,10,0,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,2,0.261799387799149,0.523598775598299,10,0,10,0,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,3,0.523598775598299,0.785398163397448,10,0,10,0,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,4,0.785398163397448,1.0471975511966,10,0,10,0,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,5,1.0471975511966,1.30899693899575,12,0,12,0,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,6,1.30899693899575,1.5707963267949,10,0,10,0,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,7,1.5707963267949,1.83259571459405,10,4,6,0.4,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,8,1.83259571459405,2.0943951023932,10,2,8,0.2,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,9,2.0943951023932,2.35619449019234,10,2,8,0.2,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,10,2.35619449019234,2.61799387799149,12,6,6,0.5,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,11,2.61799387799149,2.87979326579064,10,4,6,0.4,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,12,2.87979326579064,3.14159265358979,10,0,10,0,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,13,3.14159265358979,3.40339204138894,10,0,10,0,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,14,3.40339204138894,3.66519142918809,10,0,10,0,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,15,3.66519142918809,3.92699081698724,12,0,12,0,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,16,3.92699081698724,4.18879020478639,10,0,10,0,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,17,4.18879020478639,4.45058959258554,10,0,10,0,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,18,4.45058959258554,4.71238898038469,10,0,10,0,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,19,4.71238898038469,4.97418836818384,10,0,10,0,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,20,4.97418836818384,5.23598775598299,12,0,12,0,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,21,5.23598775598299,5.49778714378214,10,0,10,0,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,22,5.49778714378214,5.75958653158129,10,0,10,0,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,23,5.75958653158129,6.02138591938044,10,0,10,0,0.938796737397221,18,1
P06_controller_high_L,ENGINEERING_PRIMARY,12,d,24,6.02138591938044,6.28318530717959,12,0,12,0,0.938796737397221,18,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,1,0,0.261799387799149,12,0,12,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,2,0.261799387799149,0.523598775598299,10,0,10,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,3,0.523598775598299,0.785398163397448,10,0,10,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,4,0.785398163397448,1.0471975511966,10,0,10,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,5,1.0471975511966,1.30899693899575,10,0,10,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,6,1.30899693899575,1.5707963267949,12,0,12,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,7,1.5707963267949,1.83259571459405,10,0,10,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,8,1.83259571459405,2.0943951023932,10,0,10,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,9,2.0943951023932,2.35619449019234,10,0,10,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,10,2.35619449019234,2.61799387799149,10,0,10,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,11,2.61799387799149,2.87979326579064,12,0,12,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,12,2.87979326579064,3.14159265358979,10,0,10,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,13,3.14159265358979,3.40339204138894,10,0,10,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,14,3.40339204138894,3.66519142918809,10,0,10,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,15,3.66519142918809,3.92699081698724,10,0,10,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,16,3.92699081698724,4.18879020478639,12,0,12,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,17,4.18879020478639,4.45058959258554,10,0,10,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,18,4.45058959258554,4.71238898038469,10,0,10,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,19,4.71238898038469,4.97418836818384,10,0,10,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,20,4.97418836818384,5.23598775598299,12,0,12,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,21,5.23598775598299,5.49778714378214,10,0,10,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,22,5.49778714378214,5.75958653158129,10,2,8,0.2,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,23,5.75958653158129,6.02138591938044,10,2,8,0.2,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,6,d,24,6.02138591938044,6.28318530717959,10,0,10,0,0.997158900260609,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,12,d,1,0,0.261799387799149,12,0,12,0,0.988651744737893,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,12,d,2,0.261799387799149,0.523598775598299,10,0,10,0,0.988651744737893,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,12,d,3,0.523598775598299,0.785398163397448,10,0,10,0,0.988651744737893,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,12,d,4,0.785398163397448,1.0471975511966,10,0,10,0,0.988651744737893,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,12,d,5,1.0471975511966,1.30899693899575,10,0,10,0,0.988651744737893,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,12,d,6,1.30899693899575,1.5707963267949,12,0,12,0,0.988651744737893,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,12,d,7,1.5707963267949,1.83259571459405,10,0,10,0,0.988651744737893,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,12,d,8,1.83259571459405,2.0943951023932,10,0,10,0,0.988651744737893,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,12,d,9,2.0943951023932,2.35619449019234,10,0,10,0,0.988651744737893,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,12,d,10,2.35619449019234,2.61799387799149,12,0,12,0,0.988651744737893,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,12,d,11,2.61799387799149,2.87979326579064,10,0,10,0,0.988651744737893,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,12,d,12,2.87979326579064,3.14159265358979,10,0,10,0,0.988651744737893,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,12,d,13,3.14159265358979,3.40339204138894,10,0,10,0,0.988651744737893,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,12,d,14,3.40339204138894,3.66519142918809,10,0,10,0,0.988651744737893,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,12,d,15,3.66519142918809,3.92699081698724,12,0,12,0,0.988651744737893,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,12,d,16,3.92699081698724,4.18879020478639,10,0,10,0,0.988651744737893,4,1
P07_controller_low_L,ENGINEERING_PRIMARY,12,d,17,4.18879020478639,4.45058959258554,10,0,10,0,0.988651744737893,4,1
